customer_id,age,income,region,tenure_months,num_products,avg_monthly_spend,login_frequency,missed_payments,churn_risk_score,CLV,notes
C00066,61,118123,West Coast,15,2,2544.85,20,1,0.38,24667.1,Moderate value customer
C00067,37,85016,South,38,2,2840.3,26,4,0.07,101376.2,High-value loyal customer
C00068,52,52909,West Coast,28,1,623.78,5,3,0.87,2770.56,High churn risk
C00069,25,61816,East Coast,91,4,1953.33,30,4,0.62,69546.15,Moderate value customer
C00070,29,110661,West Coast,21,3,1830.72,23,0,0.15,34178.35,Moderate value customer
C00071,63,120772,West Coast,108,4,2627.45,28,0,0.93,21863.52,High churn risk
C00072,54,51626,Midwest,27,1,2708.49,13,4,0.58,31214.28,Moderate value customer
C00073,65,50946,East Coast,47,5,2329.41,20,4,0.69,36439.5,Moderate value customer
C00074,21,37456,South,56,2,1867.29,25,3,0.58,44918.66,Moderate value customer
C00075,60,87859,East Coast,111,5,757.94,20,0,0.98,4182.63,High churn risk
C00076,35,93968,West Coast,106,2,974.59,9,1,0.89,12363.72,High churn risk
C00077,52,36380,Midwest,105,3,1887.75,26,2,0.02,195749.48,High-value loyal customer
C00078,54,104447,South,14,2,590.16,9,1,0.01,9179.62,Moderate value customer
C00079,55,120283,South,21,2,715.1,7,2,0.49,8658.72,Moderate value customer
C00080,69,76464,West Coast,14,5,2752.01,7,2,0.31,29084.42,Moderate value customer
C00081,48,129773,East Coast,113,5,2877.67,26,2,0.54,152081.29,Moderate value customer
C00082,37,63941,Midwest,107,5,214.66,1,4,0.34,17659.29,Moderate value customer
C00083,66,44047,East Coast,70,1,2614.95,18,0,0.88,22465.58,High churn risk
C00084,31,67434,East Coast,76,2,2826.44,12,3,0.17,179291.84,High-value loyal customer
C00085,43,133204,South,28,5,1672.07,14,3,0.06,46508.88,Moderate value customer
C00086,46,96710,East Coast,113,1,1456.92,15,3,0.34,109157.09,Moderate value customer
C00087,66,115664,East Coast,93,3,2772.64,3,0,0.14,223255.75,High-value loyal customer
C00088,25,99744,South,37,3,221.09,30,4,0.59,4853.94,Moderate value customer
C00089,46,76311,South,102,2,2553.36,3,3,0.47,139034.64,Moderate value customer
C00090,26,105669,East Coast,67,5,1030.41,19,4,0.71,22520.87,High churn risk
C00091,63,132335,South,33,2,1995.25,9,1,0.07,62234.22,High-value loyal customer
C00092,54,134935,Midwest,114,2,1104.95,27,0,0.75,32491.08,High churn risk
C00093,62,69869,Midwest,110,2,1664.25,18,1,0.28,132808.6,High-value loyal customer
C00094,33,121509,East Coast,12,1,2463.29,1,0,0.67,10254.63,Moderate value customer
C00095,45,99557,West Coast,12,2,707.55,17,4,0.29,7028.33,Moderate value customer
C00096,22,38889,South,75,3,2058.97,22,4,0.83,27751.87,High churn risk
C00097,34,31774,West Coast,92,5,2715.34,12,1,0.83,44967.92,High churn risk
C00098,37,51750,South,51,4,2722.94,23,0,0.31,97820.26,Moderate value customer
C00099,61,41403,South,35,4,2703.54,18,3,0.91,10516.15,High churn risk
C00100,60,126879,East Coast,98,4,1651.7,2,3,0.32,112069.29,Moderate value customer
C00101,60,131777,Midwest,86,5,2349.56,24,2,0.9,22706.22,High churn risk
C00102,59,66831,West Coast,103,2,1451.2,7,1,0.19,122073.62,High-value loyal customer
C00103,45,122866,Midwest,117,5,1488.46,4,4,0.29,126146.37,High-value loyal customer
C00104,47,87275,Midwest,87,5,994.79,23,1,0.88,12885.61,High churn risk
C00105,68,101804,West Coast,12,1,998.64,29,3,0.08,11524.99,Moderate value customer
C00106,44,140947,South,19,5,305.91,4,2,0.7,4243.69,Moderate value customer
C00107,69,58910,West Coast,95,1,1688.12,21,0,0.68,51818.85,Moderate value customer
C00108,53,83760,Midwest,59,3,1064.53,27,3,0.97,3384.22,High churn risk
C00109,47,98216,West Coast,117,1,725.52,11,3,0.97,3046.58,High churn risk
C00110,65,118664,East Coast,13,4,540.8,30,1,0.48,5655.81,Moderate value customer
C00111,51,33603,South,19,1,1171.6,24,0,0.66,8068.54,Moderate value customer
C00112,68,49728,South,36,3,2717.23,27,3,0.16,83669.04,High-value loyal customer
C00113,58,109024,West Coast,86,5,1645.92,27,2,0.23,111492.82,High-value loyal customer
C00114,35,121541,South,108,4,1759.42,4,4,0.56,85607.64,Moderate value customer
C00115,64,59600,South,94,1,352.12,27,3,0.24,25655.45,Moderate value customer
C00116,60,101449,Midwest,4,2,1655.57,23,1,0.22,6165.38,Moderate value customer
C00117,21,70986,Midwest,13,5,2069.31,28,3,0.02,28863.01,Moderate value customer
C00118,31,50155,South,84,4,622.0,30,1,0.07,50590.64,High-value loyal customer
C00119,35,69510,South,103,4,2953.95,15,0,0.71,90234.49,High churn risk
C00120,53,124799,Midwest,6,1,2762.32,2,3,0.01,16908.18,Moderate value customer
C00121,68,76541,South,44,5,2980.69,2,2,0.9,15615.04,High churn risk
C00122,52,89571,South,76,5,1208.89,9,3,0.08,87025.59,High-value loyal customer
C00123,45,137062,Midwest,80,2,2502.44,26,4,0.16,169163.97,High-value loyal customer
C00124,59,136742,Midwest,109,2,1120.46,13,2,0.34,81605.89,Moderate value customer
C00125,53,97059,Midwest,81,4,2297.56,15,4,0.73,52247.64,High churn risk
C00126,49,32364,East Coast,8,4,2853.92,29,3,0.7,8849.41,Moderate value customer
C00127,54,86753,Midwest,33,3,634.06,24,2,0.25,17192.98,Moderate value customer
C00128,28,133656,South,108,4,592.9,19,2,0.33,44902.24,Moderate value customer
C00129,31,100590,Midwest,52,2,492.33,7,4,0.82,5608.21,High churn risk
C00130,33,128239,East Coast,103,1,2435.38,17,0,0.5,125922.07,Moderate value customer
C00131,25,99501,Midwest,117,3,2066.57,16,4,0.46,132065.89,Moderate value customer
C00132,39,99228,Midwest,76,4,1662.48,4,2,0.63,48748.94,Moderate value customer
C00133,41,67849,East Coast,90,2,2366.96,4,3,0.46,116034.26,Moderate value customer
C00134,23,31773,West Coast,83,3,2579.78,8,3,0.43,123549.39,Moderate value customer
C00135,46,82089,West Coast,13,1,2858.68,30,0,0.8,7932.57,High churn risk
C00136,53,148578,Midwest,10,1,763.5,20,3,0.93,1034.45,High churn risk
C00137,50,53920,West Coast,34,2,1436.69,11,2,0.55,22981.36,Moderate value customer
C00138,42,95178,West Coast,95,5,2784.44,9,3,0.29,190310.48,High-value loyal customer
C00139,25,129395,South,27,2,1491.71,30,2,0.95,3013.81,High churn risk
C00140,39,110648,South,58,2,1565.43,26,3,0.7,28238.48,Moderate value customer
C00141,29,54503,South,67,2,2838.85,23,0,0.65,67571.03,Moderate value customer
C00142,44,36106,East Coast,44,5,2257.09,14,3,0.61,41231.66,Moderate value customer
C00143,59,88090,West Coast,69,4,1745.73,10,1,0.74,33318.4,High churn risk
C00144,32,39766,Midwest,5,4,1200.4,27,1,0.78,3320.44,High churn risk
C00145,66,109502,East Coast,37,1,2762.98,16,2,0.79,21968.35,High churn risk
C00146,68,132744,West Coast,71,4,225.03,14,2,0.98,2319.54,High churn risk
C00147,65,82753,Midwest,104,2,1098.82,21,3,0.41,68423.6,Moderate value customer
C00148,47,56675,East Coast,56,4,2849.0,24,1,0.24,123253.44,High-value loyal customer
C00149,62,66284,South,51,5,1594.97,20,3,0.39,52119.52,Moderate value customer
C00150,41,41997,Midwest,56,4,1946.79,30,2,0.77,27074.66,High churn risk
C00151,58,82004,South,112,2,1691.32,29,4,0.54,88136.81,Moderate value customer
C00152,55,112511,West Coast,42,4,1312.61,10,1,0.86,9718.15,High churn risk
C00153,52,96228,Midwest,13,1,2062.79,27,1,0.24,20880.37,Moderate value customer
C00154,56,80315,South,34,4,2346.13,22,4,0.74,22739.79,High churn risk
C00155,53,41984,South,100,1,1220.39,21,4,0.25,92029.25,High-value loyal customer
C00156,63,54984,West Coast,34,3,1853.46,26,1,0.8,14103.53,High churn risk
C00157,37,97918,West Coast,53,5,431.72,19,1,0.44,15313.45,Moderate value customer
C00158,25,117320,West Coast,3,1,1733.27,8,1,0.99,552.0,High churn risk
C00159,64,104132,West Coast,74,3,2293.7,6,2,0.67,57512.15,Moderate value customer
C00160,40,134146,West Coast,107,3,1838.68,20,1,0.74,52652.08,High churn risk
C00161,43,117895,East Coast,99,2,2659.65,30,0,0.04,253773.14,High-value loyal customer
C00162,59,116662,South,37,3,1001.34,1,1,0.7,12614.87,Moderate value customer
C00163,24,146171,West Coast,52,5,1576.92,16,4,0.42,50059.91,Moderate value customer
C00164,46,94176,South,6,5,444.94,26,0,0.32,4315.36,Moderate value customer
C00165,50,84310,East Coast,21,5,2160.06,1,4,0.8,11572.25,High churn risk
C00166,68,40314,Midwest,45,5,1440.1,3,4,0.23,52399.46,High-value loyal customer
C00167,67,120976,South,5,2,1685.02,8,3,0.18,7908.58,Moderate value customer
C00168,66,97120,South,3,4,559.51,8,1,0.36,3074.26,Moderate value customer
C00169,49,136712,South,20,1,2992.59,2,1,0.63,22645.17,Moderate value customer
C00170,54,102949,Midwest,94,2,2361.38,28,1,0.26,165257.59,High-value loyal customer
C00171,30,47126,East Coast,76,2,1321.76,12,4,0.56,45199.65,Moderate value customer
C00172,40,132817,South,61,1,1795.89,16,0,0.38,68420.56,Moderate value customer
C00173,44,42030,East Coast,35,1,1932.41,11,1,0.4,41080.61,Moderate value customer
C00174,54,90618,South,32,4,2890.14,17,1,0.2,75987.58,High-value loyal customer
C00175,57,39055,South,19,4,2351.49,14,0,0.32,32381.25,Moderate value customer
C00176,33,50366,South,15,5,1179.07,5,0,0.27,15410.82,Moderate value customer
C00177,43,131159,Midwest,74,4,2937.58,28,1,0.24,167209.5,High-value loyal customer
C00178,30,115966,East Coast,57,4,1045.03,1,3,0.08,56801.37,High-value loyal customer
C00179,42,60214,East Coast,26,1,1815.45,8,1,0.43,27404.97,Moderate value customer
C00180,65,66452,West Coast,70,3,2161.87,9,1,0.24,116511.48,High-value loyal customer
C00181,34,75351,South,112,5,959.15,2,4,0.96,6796.99,High churn risk
C00182,45,120561,Midwest,111,5,2877.81,13,2,0.6,130274.76,Moderate value customer
C00183,38,125459,South,90,2,805.11,11,1,0.46,40128.35,Moderate value customer
C00184,40,138646,East Coast,2,4,1436.97,16,4,0.34,3896.8,Moderate value customer
C00185,48,128277,East Coast,49,4,703.65,4,2,0.46,20618.58,Moderate value customer
C00186,28,113035,South,48,1,2649.97,22,4,0.34,84451.05,Moderate value customer
C00187,25,98373,East Coast,32,4,820.48,7,4,0.86,5675.75,High churn risk
C00188,41,33428,South,3,2,297.28,21,3,0.26,1659.96,Moderate value customer
C00189,40,118964,South,83,1,309.03,17,0,0.28,18967.63,Moderate value customer
C00190,64,32193,West Coast,100,5,1358.51,7,0,0.71,41896.79,High churn risk
C00191,36,49722,Midwest,20,4,1663.78,23,4,0.9,5327.56,High churn risk
C00192,40,32166,Midwest,94,4,316.59,21,0,0.68,11523.03,Moderate value customer
C00193,45,80678,East Coast,37,2,460.02,2,1,0.08,16659.08,Moderate value customer
C00194,27,87607,East Coast,109,2,472.9,18,3,0.9,6154.61,High churn risk
C00195,45,72259,West Coast,20,1,2071.8,9,3,0.77,10030.28,High churn risk
C00196,56,127994,East Coast,60,5,1039.48,9,0,0.24,49900.29,Moderate value customer
C00197,30,110954,East Coast,98,2,1775.2,11,0,0.06,164531.42,High-value loyal customer
C00198,60,49802,South,59,2,406.35,4,3,0.72,7712.9,High churn risk
C00199,36,90380,West Coast,108,5,2697.92,4,4,0.23,226859.03,High-value loyal customer
C00200,24,49096,South,81,3,1052.41,23,4,0.52,42417.7,Moderate value customer
C00201,30,94626,South,42,1,2378.96,5,4,0.09,91423.85,High-value loyal customer
C00202,68,79938,East Coast,23,3,2514.77,28,1,0.57,26371.08,Moderate value customer
C00203,51,133292,South,41,5,2966.14,17,4,0.02,121679.51,High-value loyal customer
C00204,32,140465,Midwest,73,4,2274.91,5,4,0.53,80052.16,Moderate value customer
C00205,40,73369,Midwest,27,1,1439.86,4,0,0.83,7108.96,High churn risk
C00206,52,74006,Midwest,81,5,627.36,3,2,0.58,23842.79,Moderate value customer
C00207,22,79387,West Coast,105,5,334.04,1,4,0.88,6708.9,High churn risk
C00208,31,142057,West Coast,46,1,2681.53,25,4,0.55,56007.67,Moderate value customer
C00209,40,43889,Midwest,17,3,1450.66,20,2,0.69,9144.98,Moderate value customer
C00210,43,148022,Midwest,113,4,2299.9,3,4,0.37,165729.88,Moderate value customer
C00211,33,47458,South,2,3,1589.73,8,2,0.3,3725.62,Moderate value customer
C00212,55,140942,West Coast,15,2,2663.06,23,2,0.34,27364.29,Moderate value customer
C00213,37,108240,East Coast,75,3,2299.06,6,4,0.1,156686.55,High-value loyal customer
C00214,30,106618,East Coast,118,2,439.28,27,1,0.25,39876.28,Moderate value customer
C00215,60,63511,West Coast,57,1,2306.01,22,4,0.39,80679.97,Moderate value customer
C00216,58,124055,South,101,2,947.08,2,1,0.34,64132.35,Moderate value customer
C00217,34,112925,Midwest,41,5,2364.56,25,4,0.5,50973.48,Moderate value customer
C00218,39,38204,South,73,2,2855.84,1,1,0.49,107322.92,Moderate value customer
C00219,52,94905,South,14,5,2804.37,20,4,0.74,12707.91,High churn risk
C00220,53,86176,West Coast,8,5,550.0,4,3,0.4,5140.0,Moderate value customer
C00221,63,113770,Midwest,107,3,353.08,27,3,0.68,13589.46,Moderate value customer
C00222,45,116821,West Coast,76,4,2375.55,9,2,0.89,21859.6,High churn risk
C00223,45,66371,West Coast,7,3,2187.89,12,0,0.46,9770.22,Moderate value customer
C00224,34,65028,South,67,3,693.28,19,3,0.55,22402.39,Moderate value customer
C00225,65,88327,West Coast,26,5,2116.79,25,3,0.68,20111.69,Moderate value customer
C00226,64,127319,West Coast,3,4,243.37,14,4,0.49,2372.36,Moderate value customer
C00227,58,37814,West Coast,46,5,1967.25,18,0,0.16,78514.54,High-value loyal customer
C00228,56,126196,West Coast,4,4,2530.46,17,4,0.29,9186.51,Moderate value customer
C00229,44,59445,South,57,2,1997.15,23,4,0.03,111422.42,High-value loyal customer
C00230,61,89303,Midwest,96,5,383.11,18,2,0.68,14269.14,Moderate value customer
C00231,59,105956,Midwest,46,3,2974.72,17,4,0.28,100022.73,High-value loyal customer
C00232,59,105490,South,14,5,1197.06,27,4,0.82,5516.59,High churn risk
C00233,33,80440,East Coast,3,1,1265.34,9,2,0.66,1790.65,Moderate value customer
C00234,22,104744,West Coast,13,1,437.3,12,4,0.74,1978.07,High churn risk
C00235,54,114073,South,8,1,667.93,24,0,0.88,1141.21,High churn risk
C00236,35,45168,East Coast,56,3,959.29,19,2,0.43,32120.54,Moderate value customer
C00237,68,132886,East Coast,102,3,2437.77,15,3,0.19,202908.56,High-value loyal customer
C00238,22,83651,West Coast,2,1,2136.9,18,4,0.94,756.43,High churn risk
C00239,45,132789,South,102,3,1834.22,17,0,1.0,1500.0,High churn risk
C00240,25,63375,West Coast,116,3,2618.9,14,1,0.22,238458.07,High-value loyal customer
C00241,54,132348,East Coast,46,3,2993.85,10,2,0.74,37306.45,High churn risk
C00242,59,128086,East Coast,31,1,1277.37,20,2,0.07,37326.58,Moderate value customer
C00243,25,135447,West Coast,103,2,1295.43,22,4,0.03,130426.41,High-value loyal customer
C00244,63,58794,West Coast,91,2,2261.05,27,4,0.68,66841.78,Moderate value customer
C00245,28,32836,West Coast,81,4,2004.18,2,2,0.26,122130.55,High-value loyal customer
C00246,69,91476,Midwest,35,5,237.5,16,4,0.87,3580.62,High churn risk
C00247,34,44091,South,62,2,2035.2,6,4,0.51,62829.38,Moderate value customer
C00248,49,63534,South,46,4,2214.9,5,0,0.78,24414.79,High churn risk
C00249,50,42790,South,24,2,2960.62,30,0,0.1,64949.39,High-value loyal customer
C00250,57,148286,East Coast,65,1,1842.96,1,0,0.87,16073.01,High churn risk
C00251,24,123076,South,93,4,2116.37,26,3,0.19,161426.15,High-value loyal customer
C00252,55,77700,South,90,1,2408.49,7,2,0.57,93708.56,Moderate value customer
C00253,27,144779,East Coast,44,1,468.69,7,2,0.61,8542.72,Moderate value customer
C00254,46,95635,East Coast,99,4,2257.03,13,4,0.07,209804.75,High-value loyal customer
C00255,52,139520,Midwest,51,4,1731.22,5,4,0.98,3765.84,High churn risk
C00256,63,70390,East Coast,108,2,480.21,20,2,0.3,37303.88,Moderate value customer
C00257,53,80902,West Coast,88,2,2075.67,18,4,0.71,53971.1,High churn risk
C00258,44,91292,Midwest,46,5,856.61,28,0,0.63,17079.5,Moderate value customer
C00259,21,50053,East Coast,33,2,1706.11,23,1,0.03,55612.58,High-value loyal customer
C00260,49,63161,South,64,4,986.69,8,3,0.86,10840.74,High churn risk
C00261,68,55169,Midwest,26,2,492.7,15,0,0.3,9967.14,Moderate value customer
C00262,65,122993,Midwest,101,4,902.42,16,0,0.25,70358.32,High-value loyal customer
C00263,58,104613,South,39,5,1428.66,9,4,0.06,54874.68,High-value loyal customer
C00264,58,103675,South,116,4,1583.56,16,3,0.25,139769.72,High-value loyal customer
C00265,41,33052,South,58,5,615.75,6,1,0.62,16071.13,Moderate value customer
C00266,43,71464,West Coast,115,5,1098.74,11,1,0.2,103584.08,High-value loyal customer
C00267,66,117156,Midwest,26,5,2606.29,13,4,0.47,38414.68,Moderate value customer
C00268,25,82902,West Coast,102,1,2749.07,2,3,0.8,56581.03,High churn risk
C00269,50,31777,West Coast,117,3,1698.51,17,0,0.96,9449.03,High churn risk
C00270,60,118853,South,114,4,1573.01,2,0,0.7,55796.94,Moderate value customer
C00271,38,93978,East Coast,102,2,1827.95,13,2,0.2,150160.72,High-value loyal customer
C00272,26,42629,West Coast,75,3,800.79,19,0,0.38,38736.74,Moderate value customer
C00273,25,126725,East Coast,93,3,2982.0,1,1,0.55,126296.7,Moderate value customer
C00274,62,136629,East Coast,93,1,2286.76,5,1,0.87,28146.93,High churn risk
C00275,38,98461,South,67,4,868.49,23,3,0.55,28184.97,Moderate value customer
C00276,33,86499,East Coast,73,4,962.01,25,0,0.49,37815.63,Moderate value customer
C00277,40,36820,West Coast,99,2,2015.55,16,0,0.26,148659.19,High-value loyal customer
C00278,58,42499,East Coast,57,1,1103.97,6,0,0.5,31963.14,Moderate value customer
C00279,41,95029,West Coast,70,3,1194.89,14,1,0.32,58376.76,Moderate value customer
C00280,24,96120,South,73,4,2386.64,8,1,0.56,78658.88,Moderate value customer
C00281,33,104084,West Coast,8,1,947.4,18,4,0.81,1940.05,High churn risk
C00282,38,110324,East Coast,91,5,2174.68,29,2,0.95,12394.79,High churn risk
C00283,33,135906,West Coast,34,4,2817.68,29,0,0.81,20202.21,High churn risk
C00284,33,67964,East Coast,115,3,547.58,5,4,0.83,12205.19,High churn risk
C00285,59,107082,East Coast,88,5,604.0,11,3,0.36,36517.28,Moderate value customer
C00286,57,39942,South,112,5,2840.04,13,0,0.7,97925.34,Moderate value customer
C00287,55,146388,East Coast,69,5,769.85,9,0,0.39,34902.99,Moderate value customer
C00288,58,105437,Midwest,10,3,258.52,15,4,0.02,4033.5,Moderate value customer
C00289,60,33681,West Coast,84,1,2631.82,13,2,0.88,27028.75,High churn risk
C00290,47,38728,Midwest,22,4,990.45,23,3,0.05,22700.4,Moderate value customer
C00291,46,81620,Midwest,12,1,1035.39,23,3,0.12,11433.72,Moderate value customer
C00292,32,136646,West Coast,108,3,835.38,3,3,0.02,89916.62,High-value loyal customer
C00293,22,39947,South,29,2,2769.47,3,1,0.07,75692.61,High-value loyal customer
C00294,63,114470,West Coast,31,4,2368.37,15,2,0.06,71014.3,High-value loyal customer
C00295,40,144251,South,6,4,1871.02,30,0,0.68,5592.36,Moderate value customer
C00296,55,112807,East Coast,110,2,1469.12,18,2,0.85,25240.48,High churn risk
C00297,30,73955,Midwest,7,5,601.88,25,2,0.8,3342.63,High churn risk
C00298,28,133142,West Coast,117,4,2792.76,20,2,0.63,122898.58,Moderate value customer
C00299,60,114482,East Coast,97,4,2299.06,9,2,0.79,48831.85,High churn risk
C00300,66,121720,West Coast,110,4,980.87,16,2,0.46,60263.68,Moderate value customer
C00301,56,103326,West Coast,79,3,2852.99,20,1,0.91,21784.76,High churn risk
C00302,51,77438,East Coast,13,2,2818.53,24,4,0.46,20786.08,Moderate value customer
C00303,35,69495,West Coast,63,4,2046.65,17,2,0.03,127070.78,High-value loyal customer
C00304,62,68299,East Coast,24,2,2958.01,13,0,0.7,22297.67,Moderate value customer
C00305,38,78382,Midwest,94,5,724.3,12,2,0.83,14074.31,High churn risk
C00306,35,39433,East Coast,97,4,2247.89,1,3,0.22,172075.36,High-value loyal customer
C00307,39,128511,West Coast,84,1,626.09,6,3,0.32,36262.26,Moderate value customer
C00308,44,82984,Midwest,19,1,2136.74,30,3,0.69,13085.4,Moderate value customer
C00309,55,148049,Midwest,83,1,2775.59,6,3,0.57,99560.81,Moderate value customer
C00310,22,32899,East Coast,102,1,1701.07,16,2,0.89,19586.01,High churn risk
C00311,33,126832,South,88,3,2336.59,23,3,0.48,108422.36,Moderate value customer
C00312,65,54535,East Coast,69,5,600.74,14,1,0.67,16178.85,Moderate value customer
C00313,29,140083,South,22,4,1972.94,7,2,0.27,33685.42,Moderate value customer
C00314,55,90099,East Coast,60,5,376.94,26,4,0.93,4083.15,High churn risk
C00315,22,84902,Midwest,22,1,303.31,3,3,0.37,4703.88,Moderate value customer
C00316,66,95213,East Coast,92,5,1975.38,25,2,0.54,86098.08,Moderate value customer
C00317,36,122837,South,17,5,1803.86,25,1,0.62,14152.94,Moderate value customer
C00318,66,148722,West Coast,95,3,1121.9,3,0,0.25,81435.38,High-value loyal customer
C00319,56,146967,South,47,1,1636.2,15,2,0.32,52792.95,Moderate value customer
C00320,22,68529,Midwest,7,2,2116.15,28,4,0.5,8406.53,Moderate value customer
C00321,36,71948,East Coast,17,5,2005.24,7,0,0.27,27385.03,Moderate value customer
C00322,28,102283,Midwest,76,5,406.17,4,3,0.13,29355.96,Moderate value customer
C00323,21,85627,West Coast,62,1,2098.73,6,2,0.84,21319.4,High churn risk
C00324,38,37804,West Coast,63,3,2046.69,13,3,0.32,89180.2,Moderate value customer
C00325,61,139355,West Coast,7,4,2074.92,22,0,0.42,10424.18,Moderate value customer
C00326,46,97185,East Coast,29,1,2572.59,21,1,0.55,34072.3,Moderate value customer
